SA2 Code,SA2 Label,Asthma (%) All ages,Asthma (%) 60 years and over,Asthma (%) 70 years and over
306011139,Clifton Beach - Kewarra Beach,10.3,11,11
306011140,Freshwater - Stratford,10.3,11,11
124011449,Blackheath - Megalong Valley,11.2,11,11
106041127,Muswellbrook Region,11.6,11,11
206041125,South Yarra - West,9.3,11.1,11
504031056,Ballajura,10.3,11.1,11
202011024,Strathfieldsaye,11.2,11.1,11
801081091,Chapman,10.9,11.2,11
506011115,Mount Nasura - Mount Richon - Bedfordale,11,11.2,11
401021003,Adelaide Hills,11.2,11.2,11
118021565,Kingsford,8.6,11.3,11
115011557,Castle Hill - West,10.7,11.3,11
504031065,Middle Swan - Herne Hill,11.1,11.3,11
209031210,Hurstbridge,11.4,11.3,11
309081261,Robina,10.3,11.4,11
118021564,Kensington (NSW),9.2,11.5,11
209041435,South Morang (North),10.7,11.5,11
112021249,Lismore Region,11.6,11.5,11
309041241,Guanaba - Springbrook,11.4,11.6,11
511041287,Geraldton - North,11.4,11.7,11
801011009,Flynn (ACT),11.7,11.7,11
801011025,Spence,11.6,11.8,11
213051366,Truganina,7.5,10.7,11.1
209041437,Wollert,8.4,10.7,11.1
119011354,Bass Hill - Georges Hall,9.6,10.8,11.1
503011030,City Beach,10.2,10.8,11.1
123021440,Ingleburn - Denham Court,9,10.9,11.1
209011198,Heidelberg - Rosanna,9.6,10.9,11.1
206041123,North Melbourne,7.8,11,11.1
212051323,Mount Waverley - North,9,11,11.1
403031065,Belair,10,11,11.1
121031408,Lindfield - Roseville,10.1,11,11.1
501021010,Dardanup,11.2,11,11.1
403031069,Mitcham (SA),9.9,11.1,11.1
209041220,Mill Park - North,10.4,11.1,11.1
212041318,Springvale South,9,11.2,11.1
123021442,Macquarie Fields - Glenfield,9.1,11.2,11.1
506041137,Thornlie,9.5,11.2,11.1
305031124,Hamilton (Qld),10,11.2,11.1
309011227,Mermaid Beach - Broadbeach,10.1,11.2,11.1
510011262,Broome,10.4,11.3,11.1
507011158,North Coogee,10.4,11.4,11.1
214011376,Skye - Sandhurst,10.7,11.4,11.1
302021030,Geebung,10.7,11.4,11.1
106011113,Singleton Region,11.5,11.4,11.1
801071079,Gowrie (ACT),11.6,11.4,11.1
318011464,Ingham,12,11.4,11.1
504031059,Ellenbrook,9.9,11.5,11.1
505011073,Greenwood - Warwick,10.7,11.5,11.1
124051470,St Clair,11.4,11.7,11.1
801011022,Melba,11.4,11.7,11.1
702051067,Katherine,10.6,12,11.1
801011014,Higgins,11.4,12,11.1
119011571,Bankstown - North,8.8,10.8,11.2
120031575,Strathfield,8.7,11,11.2
121041417,North Sydney - Lavender Bay,8.9,11,11.2
117011323,Pagewood - Hillsdale - Daceyville,9.1,11,11.2
121031411,Turramurra,10,11,11.2
507051191,Singleton - Golden Bay - Secret Harbour,10.1,11,11.2
212041317,Springvale,8.4,11.1,11.2
309081259,Clear Island Waters,10.1,11.1,11.2
209031209,Eltham,10.8,11.1,11.2
305031123,Grange,11,11.1,11.2
801081096,Stirling,11.1,11.1,11.2
506071145,Como,9.3,11.2,11.2
504011044,Bassendean - Eden Hill - Ashfield,10.4,11.2,11.2
101021008,Karabar,11.8,11.2,11.2
213041463,Caroline Springs,10.1,11.3,11.2
402021035,Virginia - Waterloo Corner,10.2,11.3,11.2
801061063,Forrest,10.2,11.3,11.2
503011032,Cottesloe,10.4,11.3,11.2
209041221,Mill Park - South,10.5,11.3,11.2
317011457,Toowoomba - East,10.8,11.3,11.2
303031062,Mansfield (Qld),10,11.4,11.2
505021084,Balcatta - Hamersley,10.2,11.4,11.2
118011347,Woollahra,10.3,11.4,11.2
302021027,Aspley,10.5,11.4,11.2
213021343,Altona North,10.7,11.4,11.2
304021091,Pinjarra Hills - Pullenvale,10.7,11.4,11.2
301031018,Tingalpa,10.4,11.5,11.2
505011081,Padbury,10.5,11.5,11.2
303011047,Camp Hill,10.7,11.5,11.2
317011445,Cambooya - Wyreema,11.5,11.6,11.2
801071074,Chisholm,11.5,11.7,11.2
123011435,Mount Annan - Currans Hill,11.6,11.8,11.2
313041376,Upper Caboolture,12,11.9,11.2
403041075,Clarendon,11.7,12,11.2
127031522,Casula,8.8,10.7,11.3
119021366,Punchbowl,9.6,10.9,11.3
123031447,Picton - Tahmoor - Buxton,10.9,10.9,11.3
123031448,The Oaks - Oakdale,11.1,10.9,11.3
123031445,Bargo,11.1,11,11.3
206071144,Richmond (Vic.),9.5,11.1,11.3
209011202,Montmorency - Briar Hill,10.6,11.2,11.3
118021568,Maroubra - West,9.6,11.3,11.3
801051057,Lyneham,9.6,11.3,11.3
401011002,North Adelaide,9.5,11.4,11.3
123021441,Leumeah - Minto Heights,10.6,11.4,11.3
316051434,Noosa Heads,11,11.4,11.3
122031432,Terrey Hills - Duffys Forest,11.1,11.4,11.3
501011002,Busselton,11.1,11.4,11.3
312021344,Eimeo - Rural View,10.5,11.5,11.3
123021438,Claymore - Eagle Vale - Raby,11.4,11.5,11.3
209021208,Reservoir - West,10.2,11.7,11.3
506051139,High Wycombe,11.1,11.7,11.3
123021444,Rosemeadow - Glen Alpine,11.2,11.7,11.3
311051324,Cornubia - Carbrook,11.5,11.7,11.3
215011389,Horsham Region,11.7,11.7,11.3
306051170,Mareeba,12.2,11.7,11.3
318011461,Burdekin,12.3,11.7,11.3
801081098,Weston,11,11.8,11.3
506061142,Byford,10.4,12,11.3
801071071,Banks,12.5,12,11.3
210051442,Craigieburn - North,10,12.1,11.3
306031160,Johnstone,12.5,12.1,11.3
801011010,Fraser,12.2,12.2,11.3
114021288,Robertson - Fitzroy Falls,11.2,11.1,11.4
121041415,Mosman,9.8,11.2,11.4
121011401,St Leonards - Naremburn,8.7,11.3,11.4
123021443,Minto - St Andrews,9.2,11.3,11.4
111031228,Merewether - The Junction,10.2,11.3,11.4
301031017,Murarrie,10.2,11.3,11.4
303031061,Macgregor (Qld),8.4,11.4,11.4
504011046,Maylands,8.9,11.4,11.4
206041119,East Melbourne,9.7,11.4,11.4
213021345,Seabrook,10.8,11.4,11.4
309031235,Arundel,10.4,11.5,11.4
801011024,Scullin,10.4,11.5,11.4
309011228,Mermaid Waters,10.7,11.5,11.4
504021054,Swan View - Greenmount - Midvale,11.1,11.5,11.4
214011373,Frankston South,10.9,11.6,11.4
309031240,Runaway Bay,10.9,11.6,11.4
317011455,Rangeville,11.2,11.6,11.4
312021357,Walkerston - Eton,11.3,11.6,11.4
208031186,Chelsea - Bonbeach,10.7,11.7,11.4
801011008,Florey,10.7,11.7,11.4
801051055,Downer,10.7,11.7,11.4
801061070,Yarralumla,10.8,11.7,11.4
112031253,Pottsville,11.3,11.7,11.4
214021383,Point Nepean,11.9,11.7,11.4
507021165,Fremantle,10.7,11.8,11.4
318021469,Belgian Gardens - Pallarenda,10.9,11.8,11.4
309051244,Mudgeeraba - Bonogin,11.1,11.8,11.4
401021006,Lobethal - Woodside,11.4,11.8,11.4
403021060,Marino - Seaview Downs,11.2,11.9,11.4
203021046,Newtown (Vic.),11.9,11.9,11.4
313021369,Wamuran,12.3,12.1,11.4
701021016,Coconut Grove,7.7,11,11.5
311061335,Underwood,8.5,11,11.5
125041489,North Parramatta,7.9,11.1,11.5
125031480,Fairfield - East,9.3,11.1,11.5
121041413,Cremorne - Cammeray,9.7,11.3,11.5
206041117,Carlton,7,11.4,11.5
213011336,Sunshine,8.7,11.4,11.5
118021350,Malabar - La Perouse - Chifley,10.3,11.4,11.5
118021566,Maroubra - North,10.5,11.4,11.5
403031068,Colonel Light Gardens,10.3,11.5,11.5
107031138,Kiama,11.4,11.5,11.5
402021033,One Tree Hill,11.4,11.5,11.5
304031095,Sherwood,10.3,11.6,11.5
209041430,Doreen,10.8,11.6,11.5
319041517,Craignish - Dundowran Beach,11.1,11.6,11.5
402031038,Windsor Gardens,9.1,11.7,11.5
401041016,Rostrevor - Magill,10,11.7,11.5
505011070,Craigie - Beldon,10.7,11.7,11.5
212041313,Dingley Village,10.8,11.7,11.5
318011465,Ingham Region,12.3,11.7,11.5
312021350,Ooralea - Bakers Creek,10.6,11.8,11.5
401021007,Mount Barker,11.2,11.8,11.5
210051246,Greenvale - Bulla,11.7,11.8,11.5
107031136,Albion Park - Macquarie Pass,12.3,11.8,11.5
801041046,Ngunnawal,10.6,11.9,11.5
316081549,Noosa Hinterland,11.9,11.9,11.5
306031161,Tully,11.7,12,11.5
313041375,Narangba,11.9,12,11.5
104021086,Coramba - Nana Glen - Bucca,12.3,12,11.5
507011161,Success - Hammond Park,8.7,11.1,11.6
213031349,Maribyrnong,9.5,11.1,11.6
125041490,North Rocks,9.6,11.1,11.6
801041048,Palmerston,9.9,11.1,11.6
119011358,Padstow,9.9,11.2,11.6
123021437,Campbelltown - Woodbine,9.7,11.3,11.6
116011308,Seven Hills - Toongabbie,9.4,11.4,11.6
801091102,Garran,9.8,11.4,11.6
211031265,Croydon Hills - Warranwood,11.2,11.4,11.6
801091105,Lyons (ACT),10,11.5,11.6
308031209,Glenlee - Rockyview,11.7,11.5,11.6
506011116,Roleystone,11.3,11.6,11.6
305031130,Windsor,10,11.7,11.6
114011274,Culburra Beach,11.7,11.7,11.6
107031142,Shellharbour - Oak Flats,12,11.7,11.6
124011453,Lawson - Hazelbrook - Linden,12.5,11.7,11.6
303041068,Moorooka,10.1,11.8,11.6
309011225,Burleigh Heads,11,11.8,11.6
309041242,Tamborine - Canungra,11.5,11.8,11.6
801071082,Kambah,11.6,11.8,11.6
801071073,Calwell,11.9,11.8,11.6
306051166,Atherton,12.1,11.8,11.6
104021083,Bellingen,12.7,11.8,11.6
213021342,Altona Meadows,11,11.9,11.6
309021231,Currumbin - Tugun,11.3,12,11.6
404011090,Beverley,10.6,12.1,11.6
801081097,Waramanga,11.3,12.1,11.6
507021166,Fremantle - South,11.4,12.1,11.6
210011226,Airport West,12.1,12.1,11.6
306031159,Innisfail,12.2,12.2,11.6
102011028,Avoca Beach - Copacabana,12.2,12.3,11.6
306031158,Babinda,12.5,12.3,11.6
305041136,Red Hill (Qld),10.8,12.4,11.6
107011132,Horsley - Kembla Grange,12.4,12.4,11.6
119031373,Riverwood,8.9,11.1,11.7
302011024,Carseldine,9.9,11.3,11.7
211041270,Mitcham (Vic.),9.6,11.4,11.7
125011587,Regents Park,9.3,11.5,11.7
507041177,Bicton - Palmyra,10.8,11.6,11.7
209011197,Greensborough,10.9,11.6,11.7
305021113,Balmoral,10.5,11.7,11.7
312021348,Mount Pleasant - Glenella,10.5,11.8,11.7
507011154,Hamilton Hill,10.7,11.8,11.7
404011095,Seaton - Grange,10.8,11.8,11.7
106011109,Cessnock Region,11.8,11.8,11.7
212021454,Endeavour Hills - South,10.6,11.9,11.7
801071090,Wanniassa,11.5,11.9,11.7
212041316,Noble Park North,10,12,11.7
314021390,North Lakes - Mango Hill,10.3,12,11.7
303011049,Carina,10.6,12,11.7
314011386,The Hills District,11.7,12,11.7
306021149,Kanimbla - Mooroobool,11.3,12.1,11.7
309051245,Reedy Creek - Andrews,11.1,12.2,11.7
211041269,Forest Hill,9.2,11.2,11.8
503021041,Perth City,8.1,11.3,11.8
116011303,Blacktown (East) - Kings Park,8.5,11.4,11.8
207021425,Doncaster East (South),9.1,11.4,11.8
116011306,Doonside - Woodcroft,9.3,11.4,11.8
302011026,McDowall,11.1,11.5,11.8
127021512,Cabramatta West - Mount Pritchard,10.4,11.6,11.8
801081093,Fisher,11.3,11.6,11.8
316061443,Maroochy Hinterland,11.5,11.6,11.8
506021119,East Victoria Park - Carlisle,9,11.7,11.8
304011083,Riverhills,10.4,11.7,11.8
801091103,Hughes,10.7,11.7,11.8
301031015,Manly - Lota,11,11.7,11.8
115021298,Galston - Laughtondale,11.4,11.7,11.8
114021287,Moss Vale - Berrima,11.5,11.7,11.8
102021049,Jilliby - Yarramalong,11.6,11.7,11.8
309071253,Hope Island,10.7,11.8,11.8
204021067,Wangaratta Region,12.1,11.8,11.8
206051132,South Melbourne,9.6,11.9,11.8
302021031,Kedron - Gordon Park,10.8,11.9,11.8
309101269,Main Beach,10.9,11.9,11.8
302021034,Wavell Heights,11,11.9,11.8
309011226,Burleigh Waters,11.3,11.9,11.8
505031105,Mindarie - Quinns Rocks - Jindalee,10.4,12,11.8
206011105,Brunswick,10.8,12,11.8
301031016,Manly West,11.5,12,11.8
215031405,Swan Hill Region,12,12,11.8
801011023,Page,10.3,12.1,11.8
303011050,Carina Heights,10.5,12.1,11.8
305031120,Alderley,10.6,12.1,11.8
302021033,Stafford Heights,11.6,12.1,11.8
213011340,Taylors Lakes,11.7,12.1,11.8
316061441,Glass House Mountains,11.7,12.1,11.8
318011460,Ayr,12.6,12.1,11.8
205051100,Longford - Loch Sport,12.8,12.1,11.8
309021230,Coolangatta,11.2,12.2,11.8
801011005,Cook,11.5,12.2,11.8
306041164,Daintree,12.4,12.2,11.8
511031280,Kalgoorlie - North,11.2,12.3,11.8
304041101,Mitchelton,11.4,12.3,11.8
407021155,Naracoorte Region,12.5,12.3,11.8
407021158,Wattle Range,12.6,12.3,11.8
102021051,Ourimbah - Fountaindale,12.2,12.4,11.8
305031119,Albion,10,11.5,11.9
506021122,Rivervale - Kewdale - Cloverdale,8.8,11.6,11.9
507051185,Baldivis,10,11.6,11.9
601051028,Lenah Valley - Mount Stuart,11.4,11.6,11.9
213051465,Point Cook - North,9.8,11.7,11.9
114021285,Hill Top - Colo Vale,11.8,11.7,11.9
504021051,Helena Valley - Koongamia,11.2,11.8,11.9
511031279,Kalgoorlie,10.6,11.9,11.9
316051435,Noosaville,11.6,11.9,11.9
309071254,Jacobs Well - Alberton,11.7,11.9,11.9
316021418,Buddina - Minyama,11.4,12,11.9
106031124,Tea Gardens - Hawks Nest,11.8,12,11.9
113021262,Tumut Region,12.5,12,11.9
206011107,Brunswick West,10.8,12.1,11.9
801011015,Holt,11.5,12.1,11.9
106031119,Anna Bay,11.8,12.1,11.9
603031074,Triabunna - Bicheno,12,12.1,11.9
112011237,Ballina Region,12.2,12.1,11.9
215031401,Gannawarra,12.5,12.1,11.9
506051138,Forrestfield - Wattle Grove,10.4,12.2,11.9
109021179,Wentworth-Balranald Region,12.2,12.2,11.9
311041321,Jimboomba,12.5,12.2,11.9
601041024,Margate - Snug,12.5,12.2,11.9
104021088,Korora - Emerald Beach,12.7,12.2,11.9
309021233,Elanora,12.1,12.3,11.9
308051530,Agnes Water - Miriam Vale,12.6,12.3,11.9
313021364,Burpengary - East,12.1,12.4,11.9
101021007,Braidwood,12.7,12.4,11.9
205051102,Rosedale,12.7,12.4,11.9
210051443,Craigieburn - South,10.3,12.5,11.9
313021367,Elimbah,12.5,12.5,11.9
101021009,Queanbeyan,12,12.7,11.9
303051075,Parkinson - Drewvale,9,10.5,12
801071080,Greenway,9.4,11.7,12
801091106,Mawson,10,11.7,12
204011057,Mansfield (Vic.),11.5,11.7,12
801071081,Isabella Plains,11.2,11.8,12
204011058,Nagambie,11.4,11.8,12
209041217,Bundoora - West,10.1,11.9,12
127011504,Ashcroft - Busby - Miller,10.3,11.9,12
303011048,Cannon Hill,10.6,11.9,12
301011003,Birkdale,11,11.9,12
114021286,Mittagong,11.6,11.9,12
112011243,Mullumbimby,11.7,11.9,12
507011159,South Lake - Cockburn Central,10.5,12,12
801011020,Macquarie,10.5,12,12
404031105,Fulham,11,12,12
311021310,Wolffdene - Bahrs Scrub,11.6,12,12
313041374,Morayfield,11.7,12,12
124011452,Katoomba - Leura,12.1,12,12
212041460,Noble Park - West,9.1,12.1,12
404031107,Plympton,9.6,12.1,12
601051032,South Hobart - Fern Tree,11.4,12.1,12
312021351,Pioneer Valley,11.5,12.1,12
317011458,Toowoomba - West,11.7,12.1,12
215031400,Buloke,12.2,12.1,12
306051169,Malanda - Yungaburra,12.6,12.1,12
118021569,Randwick - North,10.8,12.2,12
301031021,Wynnum West - Hemmant,10.8,12.2,12
212051326,Oakleigh - Huntingdale,10.4,12.3,12
302041041,Bracken Ridge,10.9,12.3,12
212021453,Endeavour Hills - North,11,12.3,12
112031250,Kingscliff - Fingal Head,11.9,12.3,12
112011239,Brunswick Heads - Ocean Shores,12,12.3,12
113021260,Tumbarumba,12.5,12.3,12
407021150,Grant,12.6,12.3,12
604031094,North West,12.8,12.3,12
102021055,Tuggerah - Kangy Angy,11.8,12.4,12
314011383,Cashmere,11.9,12.4,12
801071087,Richardson,12.5,12.4,12
306021148,Gordonvale - Trinity,12.6,12.4,12
604011076,Burnie - Ulverstone Region,12.8,12.4,12
801051127,Reid,10.7,12.5,12
309021234,Palm Beach,11.7,12.5,12
511031278,Boulder,12.1,12.5,12
107011546,Port Kembla - Warrawong,13.5,12.6,12
403021059,Hallett Cove,11.7,12.8,12
407031163,Loxton Region,13.3,13,12
121021577,Hornsby - East,8.4,11.4,12.1
211041271,Nunawading,9.9,11.6,12.1
125041493,Toongabbie - Constitution Hill,9.4,11.7,12.1
211041272,Vermont,9.9,11.7,12.1
119011357,Greenacre - Mount Lewis,10.4,11.7,12.1
308031213,Norman Gardens,10.6,11.7,12.1
302011025,Everton Park,10.9,11.8,12.1
310011275,Oxley (Qld),9.9,11.9,12.1
116021563,Quakers Hill,10.9,11.9,12.1
112011238,Bangalow,11.7,11.9,12.1
305031131,Wooloowin - Lutwyche,10.3,12,12.1
801091108,Pearce,11.2,12,12.1
801051056,Hackett,11.4,12,12.1
126021590,Putney,11.6,12,12.1
118021570,Randwick - South,10.1,12.1,12.1
316051438,Tewantin,12,12.1,12.1
601041023,Kingston Beach - Blackmans Bay,12.2,12.1,12.1
303021053,Coorparoo,10.2,12.2,12.1
209041433,Epping - West,10.4,12.2,12.1
309061249,Pacific Pines - Gaven,10.9,12.2,12.1
316051437,Sunshine Beach,11.6,12.2,12.1
114011282,Ulladulla,12.2,12.2,12.1
124011455,Wentworth Falls,12.4,12.2,12.1
208031191,Moorabbin - Heatherton,11.5,12.3,12.1
214021380,Mornington,12.1,12.3,12.1
125041588,Pendle Hill - Girraween,8.7,12.4,12.1
316011415,Mountain Creek,11.3,12.4,12.1
316021423,Parrearra - Warana,11.9,12.4,12.1
309071255,Ormeau - Yatala,11.5,12.5,12.1
309021232,Currumbin Waters,12.2,12.6,12.1
216011408,Lockington - Gunbower,13.9,12.7,12.1
307031188,Stanthorpe Region,13.1,12.8,12.1
116031315,Hassall Grove - Plumpton,9.9,11.8,12.2
101031015,Cooma Region,12.9,12,12.2
401051018,Payneham - Felixstow,10.1,12.1,12.2
505031101,Clarkson,10.1,12.1,12.2
309091263,Ashmore,10.8,12.1,12.2
404011096,West Lakes,11.3,12.1,12.2
106031123,Seaham - Woodville,12.1,12.1,12.2
212041459,Noble Park - East,8.7,12.2,12.2
213031351,West Footscray - Tottenham,10.2,12.2,12.2
505011077,Joondalup - Edgewater,10.2,12.2,12.2
312021343,East Mackay,11,12.2,12.2
106031125,Williamtown - Medowie - Karuah,11.9,12.2,12.2
124041466,Richmond - Clarendon,12,12.2,12.2
213011335,St Albans - South,10,12.3,12.2
309011229,Miami,11.1,12.3,12.2
309071256,Oxenford - Maudsland,11.1,12.3,12.2
502011021,Dawesville - Bouvard,11.4,12.3,12.2
107041144,Balgownie - Fairy Meadow,11.7,12.3,12.2
302041042,Brighton (Qld),11.7,12.3,12.2
102011039,Terrigal - North Avoca,11.8,12.3,12.2
505031100,Carramar,10.1,12.4,12.2
316021421,Golden Beach - Pelican Waters,12.1,12.4,12.2
205031090,Leongatha,12.5,12.4,12.2
407031168,Renmark Region,12.9,12.5,12.2
604031096,Waratah,13.4,12.5,12.2
306011142,Trinity Beach - Smithfield,11.5,12.6,12.2
504031067,Stratton - Jane Brook,12.1,12.6,12.2
801081092,Duffy,12.5,12.6,12.2
318021486,Northern Beaches,12.8,12.8,12.2
405031123,Port Pirie Region,12.8,13,12.2
207031166,Burwood East,8.6,11.3,12.3
204011060,Seymour Region,11.1,11.6,12.3
303051072,Algester,9.4,11.7,12.3
507051187,Port Kennedy,10.9,11.7,12.3
125031483,Guildford - South Granville,9.6,11.9,12.3
601051029,Mount Nelson - Dynnyrne,11,11.9,12.3
119011361,Yagoona - Birrong,10.3,12,12.3
316061440,Caloundra Hinterland,11.7,12,12.3
306021153,Mount Sheridan,11.4,12.1,12.3
101031013,Bombala,12.8,12.1,12.3
503011036,Swanbourne - Mount Claremont,11,12.2,12.3
113031266,Temora,12.6,12.2,12.3
505031108,Wanneroo,10.4,12.3,12.3
601051027,Hobart,11,12.3,12.3
309071252,Helensvale,11.1,12.3,12.3
311061329,Daisy Hill,11.1,12.3,12.3
311031313,Chambers Flat - Logan Reserve,11.3,12.3,12.3
301031020,Wynnum,11.4,12.3,12.3
211051279,Monbulk - Silvan,11.5,12.3,12.3
107031141,Shellharbour - Flinders,12.4,12.3,12.3
124011450,Blaxland - Warrimoo - Lapstone,12.8,12.3,12.3
306041165,Port Douglas,11.4,12.4,12.3
316021422,Moffat Beach - Battery Hill,12.1,12.4,12.3
511011274,Esperance,12.4,12.4,12.3
507011153,Coolbellup,10.7,12.5,12.3
311061334,Springwood,10.9,12.5,12.3
213011334,St Albans - North,10.4,12.6,12.3
210051250,Tullamarine,11.6,12.6,12.3
308051539,West Gladstone,11.7,12.6,12.3
407021154,Naracoorte,11.7,12.6,12.3
107011134,Unanderra - Mount Kembla,12.2,12.6,12.3
215011393,West Wimmera,12.5,12.6,12.3
112011241,Evans Head,12.8,12.6,12.3
319011493,Bargara - Burnett Heads,12.5,12.7,12.3
801011004,Charnwood,12.6,12.7,12.3
110021192,Inverell Region - East,12.7,12.7,12.3
319011494,Branyan - Kensington,12.9,12.7,12.3
108011153,Forster-Tuncurry Region,13.2,12.7,12.3
319011499,Bundaberg Region - South,12.9,12.8,12.3
305011110,South Brisbane,9.3,13,12.3
603011066,Derwent Valley,13.1,13.2,12.3
303051074,Pallara - Willawong,9,10.6,12.4
210021232,Gisborne,9.8,11.4,12.4
213051365,Tarneit,8.7,11.7,12.4
127031598,Liverpool,8.8,11.7,12.4
207031167,Surrey Hills (East) - Mont Albert,9.9,11.7,12.4
210051444,Craigieburn - West,8.6,12,12.4
507011163,Yangebup,10.6,12.1,12.4
308051536,Kin Kora - Sun Valley,12,12.1,12.4
117031331,Glebe - Forest Lodge,9.5,12.3,12.4
209041223,Thomastown,10.7,12.3,12.4
309061247,Highland Park,11.9,12.4,12.4
123021436,Bradbury - Wedderburn,12,12.4,12.4
303021059,Yeronga,10.8,12.5,12.4
310041304,Springfield Lakes,10.9,12.5,12.4
307021181,Millmerran,12.3,12.5,12.4
801061067,Narrabundah,11.2,12.6,12.4
801081095,Rivett,12,12.6,12.4
114011276,Huskisson - Vincentia,12.4,12.6,12.4
215031402,Kerang,12.6,12.6,12.4
101061544,Young Region,12.7,12.6,12.4
316021417,Aroona - Currimundi,12.9,12.6,12.4
318011463,Dalrymple,12.9,12.6,12.4
204031071,Myrtleford,13.1,12.6,12.4
305021117,Morningside - Seven Hills,10.6,12.7,12.4
309031236,Biggera Waters,10.7,12.7,12.4
509021241,Moora,11.9,12.7,12.4
102011041,Wamberal - Forresters Beach,12.2,12.7,12.4
101031014,Cooma,13.4,12.7,12.4
109021177,Hay,12.7,12.8,12.4
205011077,Mount Baw Baw Region,12.8,12.8,12.4
319011498,Bundaberg Region - North,13,12.8,12.4
501031020,Pemberton,13.2,12.8,12.4
404031108,Richmond (SA),11.3,12.9,12.4
305021115,East Brisbane,11.3,13.1,12.4
601011002,Brighton - Pontville,14.5,13.7,12.4
207031164,Box Hill North,9.3,11.6,12.5
127031600,Prestons - Edmondson Park,9.8,11.8,12.5
801071077,Gilmore,12,11.8,12.5
121021579,Waitara - Wahroonga (West),9,11.9,12.5
115011558,Cherrybrook,10.3,12,12.5
211011255,Lysterfield,11,12,12.5
505031098,Alexander Heights - Koondoola,9.8,12.1,12.5
213041359,Rockbank - Mount Cottrell,12.1,12.2,12.5
507051188,Rockingham,11,12.3,12.5
308051534,Gladstone,11.2,12.3,12.5
309061246,Carrara,11.3,12.3,12.5
301021009,Redland Bay,11.5,12.4,12.5
509011229,Gnowangerup,12,12.4,12.5
213031352,Yarraville,11.6,12.5,12.5
211051276,Healesville - Yarra Glen,11.8,12.5,12.5
301011006,Wellington Point,11.9,12.5,12.5
202021031,Woodend,12.8,12.5,12.5
113031264,Gundagai,13,12.5,12.5
116031314,Glendenning - Dean Park,10.3,12.6,12.5
213011338,Sunshine West,10.7,12.6,12.5
311061332,Rochedale South - Priestdale,11.2,12.6,12.5
316021420,Caloundra - West,12,12.6,12.5
306021145,Cairns City,9.9,12.7,12.5
306011143,Yorkeys Knob - Machans Beach,12,12.7,12.5
509021244,Toodyay,12.7,12.7,12.5
316021424,Wurtulla - Birtinya,12,12.8,12.5
302041043,Deagon,12.1,12.8,12.5
509031247,Kulin,12.1,12.8,12.5
509021238,Dowerin,12.6,12.8,12.5
102021056,Warnervale - Wadalba,12.7,12.8,12.5
509031250,Wagin,12.7,12.8,12.5
110021193,Inverell Region - West,12.8,12.8,12.5
317011449,Gowrie (Qld),12.9,12.8,12.5
113021261,Tumut,13,12.8,12.5
407031166,Murray Bridge Region,13.7,12.9,12.5
305011107,Highgate Hill,11.1,13,12.5
213011339,Sydenham,11.4,13,12.5
509021242,Mukinbudin,12.5,13,12.5
210051445,Mickleham - Yuroke,10.7,13.1,12.5
511041286,Geraldton - East,13.8,13.6,12.5
601061034,Dodges Ferry - Lewisham,14.4,14.7,12.5
801051061,Watson,10.8,12,12.6
506021118,Belmont - Ascot - Redcliffe,9.9,12.3,12.6
801071078,Gordon (ACT),11.9,12.4,12.6
309071258,Upper Coomera - Willow Vale,11,12.5,12.6
509011233,McKail - Willyung,12.3,12.5,12.6
306051167,Herberton,12.9,12.5,12.6
301021012,Thornlands,11.3,12.6,12.6
