SA2 Code,SA2 Label,Diabetes (%) All ages,Diabetes (%) 60 years and over,Diabetes (%) 70 years and over
302011026,McDowall,3.7,11.5,14
405011112,Lyndoch,3.9,11.5,14
115031299,Bilpin - Colo - St Albans,4.8,11.6,14
403041075,Clarendon,4.9,11.6,14
201011001,Alfredton,3.2,11.7,14
301011002,Belmont - Gumdale,3.9,11.7,14
207031163,Box Hill,3.3,11.9,14
601061035,Sorell - Richmond,4.5,12,14
317011457,Toowoomba - East,4.4,12.1,14
602011048,Summerhill - Prospect,4.4,12.1,14
302021029,Chermside West,4.2,12.2,14
302021027,Aspley,4.8,12.2,14
216021414,Yarrawonga,5.6,12.3,14
109031185,Tocumwal - Finley - Jerilderie,5.7,12.4,14
109031184,Moama,5.3,12.5,14
304011085,Westlake,4.1,10.8,14.1
206051130,Port Melbourne,3.7,10.9,14.1
510011262,Broome,3.2,11.1,14.1
101021012,Queanbeyan West - Jerrabomberra,3,11.2,14.1
503021041,Perth City,3,11.2,14.1
506061142,Byford,2.3,11.7,14.1
128021608,Loftus - Yarrawarrah,3.9,11.8,14.1
209011198,Heidelberg - Rosanna,3.9,11.8,14.1
302011023,Bridgeman Downs,4.2,11.8,14.1
307031185,Southern Downs - East,5.2,11.9,14.1
317011452,Middle Ridge,4.3,12,14.1
316061440,Caloundra Hinterland,6.6,12,14.1
203021046,Newtown (Vic.),4.2,12.1,14.1
501021253,South Bunbury - Bunbury,4.8,12.1,14.1
303011050,Carina Heights,3.6,12.2,14.1
501021012,Eaton - Pelican Point,3.8,12.2,14.1
309091541,Southport - South,4.6,12.3,14.1
302011025,Everton Park,3.8,12.4,14.1
307021182,Pittsworth,4.4,12.4,14.1
405021117,Gilbert Valley,5.6,12.4,14.1
317011447,Drayton - Harristown,4.8,12.8,14.1
503021038,Mount Hawthorn - Leederville,2.9,11.1,14.2
206041121,Kensington (Vic.),2.7,11.2,14.2
209011200,Ivanhoe,3.7,11.2,14.2
115021297,Dural - Kenthurst - Wisemans Ferry,4,11.2,14.2
112011238,Bangalow,4.6,11.2,14.2
503021040,North Perth,3.4,11.3,14.2
501021252,Gelorup - Stratham,4.1,11.4,14.2
101021010,Queanbeyan - East,3.6,11.6,14.2
506061143,Mundijong,3.6,11.6,14.2
504021051,Helena Valley - Koongamia,4,11.6,14.2
121011398,Chatswood (East) - Artarmon,3.3,11.8,14.2
403041077,Flagstaff Hill,4.3,11.8,14.2
501021007,Capel,4.4,11.9,14.2
317011450,Highfields,4.1,12,14.2
402051055,St Agnes - Ridgehaven,4.6,12,14.2
303041069,Robertson,3.8,12.5,14.2
801071076,Fadden,4.4,10.9,14.3
201011007,Smythes Creek,3.6,11.5,14.3
112011240,Byron Bay,4.5,11.5,14.3
115021298,Galston - Laughtondale,4.4,11.6,14.3
121021403,Asquith - Mount Colah,3.8,11.9,14.3
208031193,Mordialloc - Parkdale,3.8,11.9,14.3
208031185,Carrum - Patterson Lakes,4.4,11.9,14.3
402051051,Highbury - Dernancourt,4.5,11.9,14.3
216021413,Numurkah,4.7,12,14.3
110011188,Armidale Region - South,5.2,12,14.3
128021533,Heathcote - Waterfall,4.1,12.1,14.3
208031190,Mentone,4.1,12.1,14.3
801011003,Bruce,2.9,12.2,14.3
102011039,Terrigal - North Avoca,4.5,12.2,14.3
208031188,Cheltenham - Highett (East),4.1,12.3,14.3
113021261,Tumut,4.6,12.3,14.3
403041083,McLaren Vale,5.2,12.4,14.3
801071080,Greenway,4.7,12.6,14.3
106031119,Anna Bay,5.3,12.7,14.3
102011034,Kincumber - Picketts Valley,5.6,13.1,14.3
206051133,St Kilda,2.8,10.9,14.4
403021063,Sheidow Park - Trott Park,3.2,11,14.4
112011243,Mullumbimby,5,11.3,14.4
309061249,Pacific Pines - Gaven,2.8,11.4,14.4
205051102,Rosedale,4.2,11.5,14.4
801011010,Fraser,4.4,11.5,14.4
309081260,Merrimac,3.5,11.7,14.4
202031032,Bendigo Region - North,4.5,11.8,14.4
801071082,Kambah,4.4,11.9,14.4
112011239,Brunswick Heads - Ocean Shores,5,11.9,14.4
207021159,Templestowe,4.6,12,14.4
309071254,Jacobs Well - Alberton,4.6,12,14.4
128021607,Engadine,3.7,12.1,14.4
403041088,Willunga,4.8,12.1,14.4
501021005,Australind - Leschenault,3.7,12.2,14.4
208031191,Moorabbin - Heatherton,3.8,12.2,14.4
102011041,Wamberal - Forresters Beach,4.2,12.3,14.4
103011060,Bathurst Region,5,12.3,14.4
319041517,Craignish - Dundowran Beach,5.3,12.4,14.4
207031162,Blackburn South,4.3,12.5,14.4
302011024,Carseldine,4.6,12.5,14.4
405021116,Clare,5,12.5,14.4
502011027,Mandurah - North,3.6,12.6,14.4
114011272,Berry - Kangaroo Valley,6.7,12.9,14.4
206051134,St Kilda East,2.6,11.1,14.5
401061022,Walkerville,4.6,11.6,14.5
303021056,Holland Park,3.2,11.7,14.5
101021008,Karabar,3.8,11.8,14.5
301011004,Capalaba,3.9,11.9,14.5
602031062,Perth - Evandale,4.7,12,14.5
103011059,Bathurst - East,3.7,12.4,14.5
501021014,Harvey,4.6,12.4,14.5
302021030,Geebung,3.8,12.5,14.5
106031125,Williamtown - Medowie - Karuah,4.2,12.5,14.5
801011022,Melba,4.5,12.5,14.5
216011406,Echuca,4.7,12.5,14.5
304041098,Enoggera,3.2,12.6,14.5
801011026,Weetangera,4.8,12.6,14.5
309091540,Southport - North,4.1,12.7,14.5
307021179,Crows Nest - Rosalie,5.7,12.9,14.5
128021535,Menai - Lucas Heights - Woronora,3.6,11.3,14.6
303021052,Annerley,2.8,11.7,14.6
602021056,Hadspen - Carrick,4,11.7,14.6
303021057,Holland Park West,3.4,11.9,14.6
106031123,Seaham - Woodville,4,11.9,14.6
303021055,Greenslopes,2.9,12,14.6
317011458,Toowoomba - West,3.6,12.1,14.6
216011408,Lockington - Gunbower,4.5,12.1,14.6
208031183,Aspendale Gardens - Waterways,3.7,12.2,14.6
207021424,Doncaster East (North),4.4,12.2,14.6
402051049,Golden Grove,4.4,12.2,14.6
128021538,Sutherland - Kirrawee,3.9,12.5,14.6
207021160,Templestowe Lower,4.8,12.7,14.6
216021411,Cobram,5.4,12.7,14.6
121021579,Waitara - Wahroonga (West),3.7,12.8,14.6
207021157,Doncaster,4.7,12.8,14.6
115011294,Glenhaven,5.1,12.8,14.6
502011022,Falcon - Wannanup,5.4,12.8,14.6
502011026,Mandurah - East,5.8,12.8,14.6
102011031,Erina - Green Point,5.5,13,14.6
502011024,Halls Head - Erskine,5.5,13.1,14.6
204031073,West Wodonga,3.6,11.5,14.7
302011022,Bald Hills,3.5,12.1,14.7
801011017,Latham,3.8,12.2,14.7
212011290,Koo Wee Rup,3.9,12.2,14.7
509011229,Gnowangerup,4.6,12.2,14.7
303041070,Salisbury - Nathan,3.4,12.3,14.7
317011451,Lockyer Valley - West,4.3,12.3,14.7
214011373,Frankston South,4.6,12.5,14.7
108011151,Bulahdelah - Stroud,5.6,12.5,14.7
801011009,Flynn (ACT),4.3,12.6,14.7
216011407,Kyabram,4.9,12.6,14.7
216011409,Rochester,5.4,12.6,14.7
403021062,Morphettville,4.6,12.7,14.7
502011021,Dawesville - Bouvard,5.1,12.7,14.7
302021033,Stafford Heights,4.5,12.8,14.7
103041076,Blayney,4.7,12.8,14.7
111031232,Stockton - Fullerton Cove,5.8,12.8,14.7
111011208,Charlestown - Dudley,4.3,12.9,14.7
801011005,Cook,4.9,12.9,14.7
207031166,Burwood East,4.7,13,14.7
128021609,Woronora Heights,3.5,10.7,14.8
209011197,Greensborough,3.9,11.5,14.8
801071090,Wanniassa,4.3,11.7,14.8
309071251,Coomera,2.3,11.9,14.8
309071258,Upper Coomera - Willow Vale,2.7,12,14.8
317011449,Gowrie (Qld),3.2,12,14.8
402051050,Greenwith,3.6,12,14.8
301011001,Alexandra Hills,3.8,12,14.8
107041148,Thirroul - Austinmer - Coalcliff,4.2,12,14.8
801071071,Banks,2.9,12.1,14.8
801011019,Macgregor (ACT),2.9,12.2,14.8
308051536,Kin Kora - Sun Valley,3.3,12.2,14.8
208031187,Chelsea Heights,4,12.2,14.8
403041076,Coromandel Valley,4.1,12.2,14.8
505021089,Karrinyup - Gwelup - Carine,4.1,12.3,14.8
301011006,Wellington Point,4.2,12.3,14.8
102011033,Kariong,3.3,12.4,14.8
102011030,Calga - Kulnura,5,12.4,14.8
801071081,Isabella Plains,4,12.6,14.8
203021042,Highton,4.2,12.6,14.8
111011213,Valentine - Eleebana,4.9,12.6,14.8
103041079,Orange Region,4.5,12.7,14.8
505021096,Wembley Downs - Churchlands - Woodlands,4.5,12.8,14.8
307021183,Wambo,4.3,12.9,14.8
103011058,Bathurst,4.4,12.9,14.8
108051168,Old Bar - Manning Point - Red Head,6.4,13,14.8
801011020,Macquarie,4.4,13.2,14.8
110041203,Tamworth - North,4.5,13.2,14.8
801011024,Scullin,3.9,13.3,14.8
302021028,Chermside,4.2,13.3,14.8
106031124,Tea Gardens - Hawks Nest,8.6,13.4,14.8
801011023,Page,4.7,13.8,14.8
509031248,Murray,4.4,11.6,14.9
801071077,Gilmore,3.7,11.8,14.9
302021034,Wavell Heights,3.5,12.2,14.9
209011204,Watsonia,4.1,12.3,14.9
604021088,Miandetta - Don,4.2,12.4,14.9
301011005,Thorneside,4.5,12.4,14.9
801011002,Belconnen,2.5,12.6,14.9
505021092,Scarborough,3.6,12.6,14.9
208031186,Chelsea - Bonbeach,4.2,12.6,14.9
209011196,Bundoora - East,4.2,12.6,14.9
404031109,West Beach,4.9,12.7,14.9
203021041,Grovedale,3.8,12.8,14.9
203021040,Geelong West - Hamlyn Heights,4,12.8,14.9
509021236,Chittering,4.7,12.8,14.9
111011211,Redhead,5.1,12.8,14.9
102011029,Box Head - MacMasters Beach,5.5,12.8,14.9
303031066,Wishart,4.1,12.9,14.9
403041089,Woodcroft,4.2,12.9,14.9
203031051,Portarlington,7.5,12.9,14.9
102011043,Wyoming,4.7,13,14.9
102011037,Point Clare - Koolewong,5.1,13,14.9
112011236,Ballina,6.5,13,14.9
207021425,Doncaster East (South),4.5,13.1,14.9
402051052,Hope Valley - Modbury,5.1,13.1,14.9
303031061,Macgregor (Qld),3.9,13.2,14.9
317011448,Gatton,4.1,13.3,14.9
303031065,Upper Mount Gravatt,3.8,13.5,14.9
128021534,Illawong - Alfords Point,4,11.3,15
206051132,South Melbourne,3.6,11.7,15
117031337,Sydney - Haymarket - The Rocks,2.5,12,15
212011289,Emerald - Cockatoo,3.9,12,15
801071072,Bonython,3.8,12.1,15
212011288,Bunyip - Garfield,4.2,12.2,15
102011028,Avoca Beach - Copacabana,4.1,12.3,15
126021499,Hunters Hill - Woolwich,4.4,12.3,15
209011203,Viewbank - Yallambie,4.2,12.4,15
601051027,Hobart,4.6,12.5,15
101021009,Queanbeyan,3.8,12.6,15
301011003,Birkdale,4.3,12.6,15
301031015,Manly - Lota,4.6,12.6,15
505021094,Trigg - North Beach - Watermans Bay,4.8,12.6,15
509011226,Albany Region,5.4,12.6,15
310021282,Rosewood,4.5,12.7,15
103011061,Oberon,5.3,12.7,15
103041078,Orange - North,3.6,12.9,15
403041080,Happy Valley,4.7,12.9,15
102011038,Saratoga - Davistown,5,13.1,15
111011214,Warners Bay - Boolaroo,5.1,13.2,15
113031268,Wagga Wagga - North,3.3,13.3,15
801011007,Evatt,4,12.1,15.1
401051019,St Peters - Marden,4.3,12.2,15.1
402051053,Modbury Heights,4.4,12.2,15.1
102011035,Narara,3.9,12.3,15.1
309071255,Ormeau - Yatala,3.1,12.4,15.1
102011036,Niagara Park - Lisarow,3.9,12.4,15.1
303031064,Rochedale - Burbank,3.2,12.5,15.1
205051101,Maffra,4.7,12.5,15.1
403041071,Aberfoyle Park,4.4,12.6,15.1
308051534,Gladstone,4.3,12.8,15.1
203021044,Leopold,4.3,12.9,15.1
110011187,Armidale Region - North,5.2,12.9,15.1
509011231,Kojonup,5.2,12.9,15.1
121021578,Hornsby - West,4.3,13,15.1
404031105,Fulham,5.3,13,15.1
308051539,West Gladstone,4.4,13.2,15.1
509011228,Denmark,6.3,13.2,15.1
303031063,Mount Gravatt,3.6,13.3,15.1
211041271,Nunawading,4.1,13.3,15.1
303031062,Mansfield (Qld),4.2,13.3,15.1
206071145,Yarra - North,3.2,11.1,15.2
120021387,Balmain,3.9,11.3,15.2
401061020,Nailsworth - Broadview,3.8,11.7,15.2
309071257,Pimpama,2,11.8,15.2
801071074,Chisholm,3.7,11.8,15.2
211011449,The Basin,3.6,12,15.2
308051531,Boyne Island - Tannum Sands,3.5,12.3,15.2
501031017,Bridgetown - Boyup Brook,5.7,12.4,15.2
309011225,Burleigh Heads,5.2,12.6,15.2
303041068,Moorooka,3.6,12.9,15.2
301031016,Manly West,4.1,12.9,15.2
401051018,Payneham - Felixstow,4.6,12.9,15.2
107041146,Figtree - Keiraville,4.1,13,15.2
111011209,Glendale - Cardiff - Hillsborough,4.2,13,15.2
103031072,Mudgee,4.1,13.2,15.2
310021277,Boonah,5.4,13.2,15.2
202021029,Heathcote,6.7,13.2,15.2
801011014,Higgins,4.2,13.3,15.2
101041025,Merimbula - Tura Beach,6.9,13.3,15.2
301021527,Redland Islands,7.7,13.3,15.2
206071140,Carlton North - Princes Hill,3.4,11.8,15.3
301031019,Wakerley,2.7,12,15.3
507021166,Fremantle - South,4.3,12,15.3
801071079,Gowrie (ACT),4.3,12.1,15.3
801011006,Dunlop,3,12.2,15.3
801011021,McKellar,4.6,12.3,15.3
501021251,Dalyellup,2.7,12.7,15.3
115011555,Castle Hill - North,4.6,12.8,15.3
313051542,Scarborough - Newport - Moreton Island,5.9,12.9,15.3
111031228,Merewether - The Junction,4.2,13,15.3
316031427,Maroochydore - Kuluin,5.7,13,15.3
113031267,Wagga Wagga - East,4.4,13.1,15.3
509021244,Toodyay,6.1,13.1,15.3
309101270,Surfers Paradise,5.1,13.2,15.3
601031018,Montrose - Rosetta,5.2,13.3,15.3
207021156,Bulleen,5.2,13.4,15.3
203021037,Belmont,4.6,13.5,15.3
106041128,Scone,4.7,14.3,15.3
115011554,Castle Hill - East,5.8,14.3,15.3
208021177,Caulfield - North,3.6,12.2,15.4
112031252,Murwillumbah Region,5.4,12.2,15.4
113021262,Tumut Region,5.5,12.7,15.4
203021043,Lara,3.8,12.8,15.4
509011232,Little Grove - Elleker,5.9,12.9,15.4
505021088,Innaloo - Doubleview,3.7,13,15.4
110011189,Walcha,6.1,13,15.4
407011149,Yankalilla,6.9,13,15.4
107041150,Woonona - Bulli - Russell Vale,4.2,13.1,15.4
115011556,Castle Hill - South,4.4,13.1,15.4
115011553,Castle Hill - Central,4.2,13.2,15.4
302031035,Boondall,4.6,13.6,15.4
111011212,Swansea - Caves Beach,5.9,13.6,15.4
114011276,Huskisson - Vincentia,6.7,13.7,15.4
120021388,Leichhardt - Annandale,3,11.3,15.5
306011138,Brinsmead,3.5,11.4,15.5
117031329,Darlinghurst,3.2,11.9,15.5
214011374,Langwarrin,3.7,12.5,15.5
114011281,Tomerong - Wandandian - Woollamia,5.1,12.7,15.5
212011291,Pakenham - North,2.9,13,15.5
115011558,Cherrybrook,4.6,13.1,15.5
101031013,Bombala,5.6,13.2,15.5
113031269,Wagga Wagga - South,3.9,13.3,15.5
505021097,Yokine - Coolbinia - Menora,4.6,13.3,15.5
101041019,Bega - Tathra,5.6,13.3,15.5
507051185,Baldivis,2.7,13.4,15.5
115011290,Baulkham Hills (East),4.1,13.5,15.5
114011277,North Nowra - Bomaderry,5.3,13.5,15.5
105031101,Dubbo - South,4.3,13.8,15.5
306011140,Freshwater - Stratford,4.2,12,15.6
216031418,Shepparton Region - East,4.4,12.3,15.6
308051538,Telina - Toolooa,2.8,12.4,15.6
801041048,Palmerston,3.7,12.8,15.6
308031219,Rockhampton Region - North,5.2,12.8,15.6
407011145,Kangaroo Island,6,12.8,15.6
303041067,Coopers Plains,3.5,13,15.6
303031060,Eight Mile Plains,3.6,13,15.6
112011241,Evans Head,6.2,13,15.6
302021031,Kedron - Gordon Park,3.3,13.1,15.6
301031021,Wynnum West - Hemmant,4.1,13.1,15.6
205051103,Sale,4.5,13.2,15.6
308031223,Yeppoon,5,13.3,15.6
319021507,Kingaroy Region - South,5.6,13.3,15.6
507051187,Port Kennedy,3.4,13.4,15.6
307021180,Jondaryan,4.7,13.4,15.6
509011227,Bayonet Head - Lower King,5.1,13.4,15.6
506031129,Riverton - Shelley - Rossmoyne,4.9,13.5,15.6
107041548,Wollongong - East,4.8,13.7,15.6
801011015,Holt,4.9,13.7,15.6
113031264,Gundagai,5.2,13.7,15.6
111021216,Bonnells Bay - Silverwater,5.5,13.7,15.6
111021218,Morisset - Cooranbong,5.7,14,15.6
307021181,Millmerran,5.8,14,15.6
208021178,Caulfield - South,4.1,12.4,15.7
117031333,Potts Point - Woolloomooloo,4,12.5,15.7
306011139,Clifton Beach - Kewarra Beach,4.8,12.5,15.7
126021590,Putney,4.3,12.6,15.7
801071075,Conder,3.6,12.7,15.7
208021174,Bentleigh - McKinnon,3.9,12.7,15.7
801041047,Nicholls,4.5,13,15.7
309021231,Currumbin - Tugun,5,13,15.7
801071084,Monash,5.2,13,15.7
312021348,Mount Pleasant - Glenella,4.2,13.1,15.7
211011446,Boronia,4.3,13.1,15.7
601031013,Austins Ferry - Granton,4.4,13.1,15.7
308031213,Norman Gardens,3.9,13.2,15.7
319031513,Gympie - South,5.3,13.4,15.7
505021086,Dianella,4.9,13.5,15.7
602031060,Longford,5.7,13.6,15.7
319021505,Kingaroy,4.7,13.7,15.7
111031222,Adamstown - Kotara,4.4,13.9,15.7
306011141,Redlynch,3.2,11.6,15.8
211011255,Lysterfield,3.4,12.2,15.8
214011376,Skye - Sandhurst,3.3,12.6,15.8
301031018,Tingalpa,3.9,12.8,15.8
107031139,Kiama Downs - Minnamurra,4.9,13,15.8
107031140,Kiama Hinterland - Gerringong,5.4,13,15.8
302041041,Bracken Ridge,4,13.2,15.8
302021032,Stafford,3.7,13.4,15.8
302041044,Sandgate - Shorncliffe,4.9,13.4,15.8
124011452,Katoomba - Leura,6.1,13.4,15.8
314021390,North Lakes - Mango Hill,3,14,15.8
507051190,Safety Bay - Shoalwater,5.7,14.1,15.8
113031263,Cootamundra,6.3,14.2,15.8
801011011,Giralang,4.1,12.4,15.9
308051533,Clinton - New Auckland,2.8,12.7,15.9
204031072,Towong,6.1,13,15.9
311041322,Logan Village,4.2,13.1,15.9
311041321,Jimboomba,3.1,13.2,15.9
602021055,Grindelwald - Lanena,5.9,13.2,15.9
301031020,Wynnum,4.6,13.4,15.9
319051526,Tinana,5.8,13.4,15.9
211011447,Ferntree Gully (North),4.4,13.5,15.9
205021082,Bruthen - Omeo,6,13.5,15.9
212011292,Pakenham - South,3.4,13.7,15.9
302031039,Nudgee - Banyo,4,13.7,15.9
308031222,The Range - Allenstown,4.6,13.7,15.9
507051191,Singleton - Golden Bay - Secret Harbour,2.9,13.8,15.9
507051192,Waikiki,4.2,13.9,15.9
109031183,Deniliquin Region,6.3,13.9,15.9
509021239,Gingin - Dandaragan,6.3,13.9,15.9
601021010,Risdon Vale,4.9,15.2,15.9
601011003,Old Beach - Otago,4.2,12.6,16
208021179,Elsternwick,3.7,12.7,16
107041147,Helensburgh,3.6,12.8,16
211011254,Knoxfield - Scoresby,4.1,13.2,16
404031106,Lockleys,4.7,13.3,16
308051535,Gladstone Hinterland,4,13.4,16
107041549,Wollongong - West,3.8,13.6,16
405011114,Nuriootpa,5.3,13.6,16
111031233,Wallsend - Elermore Vale,4.8,13.8,16
111011206,Belmont - Bennetts Green,5.2,13.9,16
509021245,York - Beverley,6.8,13.9,16
302041045,Taigum - Fitzgibbon,4.2,14.2,16
117031330,Erskineville - Alexandria,2.5,12.1,16.1
212011287,Beaconsfield - Officer,3.1,12.7,16.1
208021181,Murrumbeena,3.5,12.7,16.1
211011259,Wantirna,4.6,12.9,16.1
311041320,Greenbank,3.5,13.1,16.1
123031446,Douglas Park - Appin,3.7,13.5,16.1
104021089,Sawtell - Boambee,5.6,13.6,16.1
111031225,Lambton - New Lambton,4.5,13.7,16.1
602011038,Launceston,5.2,13.7,16.1
111021220,Wangi Wangi - Rathmines,6.2,13.7,16.1
302041042,Brighton (Qld),4.7,13.8,16.1
104021085,Coffs Harbour - South,5.8,14.1,16.1
101041017,Batemans Bay,7,14.1,16.1
214021384,Rosebud - McCrae,7,14.3,16.1
120021389,Lilyfield - Rozelle,3.4,11.7,16.2
303021054,Fairfield - Dutton Park,3,12.7,16.2
308031209,Glenlee - Rockyview,3.9,12.8,16.2
211011448,Ferntree Gully (South) - Upper Ferntree Gul,4,12.8,16.2
217011423,Southern Grampians,5.7,13.1,16.2
407021173,Mount Gambier - East,4.4,13.2,16.2
204031069,Bright - Mount Beauty,5.9,13.2,16.2
801071078,Gordon (ACT),3.9,13.3,16.2
112031253,Pottsville,5.1,13.3,16.2
211011257,Rowville - North,3.9,13.5,16.2
104021091,Woolgoolga - Arrawarra,5.8,13.6,16.2
501021254,Withers - Usher,4.5,13.7,16.2
309021234,Palm Beach,5,13.7,16.2
112031254,Tweed Heads,6.6,13.9,16.2
316021419,Caloundra - Kings Beach,7.5,14.1,16.2
101041018,Batemans Bay - South,7.4,14.2,16.2
407011148,Victor Harbor,8.3,14.4,16.2
311021309,Mount Warren Park,4.9,14.6,16.2
117031332,Newtown - Camperdown - Darlington,2.6,12.2,16.3
306011142,Trinity Beach - Smithfield,3.9,12.7,16.3
801011016,Kaleen,4.7,13,16.3
101031016,Jindabyne - Berridale,4.5,13.1,16.3
112021249,Lismore Region,5.6,13.1,16.3
604021090,Quoiba - Spreyton,4.6,13.3,16.3
505021093,Stirling - Osborne Park,4.3,13.4,16.3
216031419,Shepparton Region - West,5,13.4,16.3
215011387,Ararat Region,5.9,13.4,16.3
211011260,Wantirna South,4.9,13.5,16.3
118021566,Maroubra - North,4.3,13.7,16.3
111021221,West Wallsend - Barnsley - Killingworth,4.4,13.7,16.3
506011116,Roleystone,5,13.7,16.3
106011109,Cessnock Region,5.1,13.7,16.3
505021095,Tuart Hill - Joondanna,4,13.8,16.3
309011229,Miami,4.6,13.8,16.3
113031271,Wagga Wagga Region,4.8,13.9,16.3
113031265,Junee,5,13.9,16.3
314021389,Murrumba Downs - Griffin,3.4,14,16.3
404031107,Plympton,4.6,14,16.3
302031040,Nundah,3.6,14.1,16.3
212051323,Mount Waverley - North,5,14.3,16.3
401061021,Prospect,3.9,12.3,16.4
111031226,Maryland - Fletcher - Minmi,3.3,13.3,16.4
118021569,Randwick - North,3.5,13.4,16.4
123031448,The Oaks - Oakdale,4.1,13.4,16.4
126021497,Eastwood - Denistone,4.3,13.4,16.4
211011258,Rowville - South,4.2,13.5,16.4
314031393,Petrie,4.1,13.7,16.4
105031100,Dubbo - East,4.2,13.7,16.4
106011113,Singleton Region,4.9,13.8,16.4
115041301,Pitt Town - McGraths Hill,4.2,14.1,16.4
123031445,Bargo,4.5,14.3,16.4
106041127,Muswellbrook Region,5.1,15.2,16.4
206071139,Abbotsford,2.6,12,16.5
117031331,Glebe - Forest Lodge,3.6,12.8,16.5
118021570,Randwick - South,3.3,13.4,16.5
301031017,Murarrie,3.3,13.4,16.5
509031247,Kulin,5.2,13.4,16.5
214011370,Carrum Downs,3.7,13.5,16.5
601011002,Brighton - Pontville,3.9,13.5,16.5
118021348,Coogee - Clovelly,3.7,13.6,16.5
308031208,Frenchville - Mount Archer,4.5,13.8,16.5
106011107,Branxton - Greta - Pokolbin,4.2,13.9,16.5
312021358,West Mackay,4.8,14,16.5
106011110,Dungog,5.6,14,16.5
506031127,Cannington - Queens Park,3.2,14.1,16.5
111021217,Edgeworth - Cameron Park,3.7,14.1,16.5
216031417,Shepparton - South,4.6,14.1,16.5
107031138,Kiama,6.4,14.1,16.5
121021577,Hornsby - East,3.7,14.2,16.5
104021084,Coffs Harbour - North,5.7,14.2,16.5
212051321,Glen Waverley - East,5.2,14.3,16.5
205031091,Phillip Island,6.6,14.3,16.5
509011225,Albany,6.5,14.6,16.5
117031334,Pyrmont - Ultimo,2.8,12.7,16.6
506031125,Canning Vale - West,4,13,16.6
603021069,Bruny Island - Kettering,7.1,13.4,16.6
506031128,Parkwood - Ferndale - Lynwood,4.7,13.5,16.6
208021427,Bentleigh East (South),4.2,13.6,16.6
126021498,Gladesville - Huntleys Point,4.4,13.7,16.6
205041097,Traralgon,4.4,13.9,16.6
311021310,Wolffdene - Bahrs Scrub,4.1,14,16.6
126021501,North Ryde - East Ryde,4.6,14,16.6
217011420,Glenelg (Vic.),6.4,14,16.6
506011115,Mount Nasura - Mount Richon - Bedfordale,5.3,14.1,16.6
113021260,Tumbarumba,6.2,14.1,16.6
123031447,Picton - Tahmoor - Buxton,4.3,14.2,16.6
212051322,Glen Waverley - West,4.7,14.6,16.6
801041040,Gungahlin,2.9,13.2,16.7
312021354,Shoal Point - Bucasia,3.3,13.2,16.7
211011256,Rowville - Central,4.2,13.4,16.7
208021176,Carnegie,3.5,13.5,16.7
801011008,Florey,4.7,13.5,16.7
501031020,Pemberton,6.4,13.5,16.7
208021426,Bentleigh East (North),3.9,13.6,16.7
310031290,Karana Downs,4.2,13.6,16.7
308031220,Rockhampton Region - West,5,13.6,16.7
302031038,Northgate - Virginia,3.8,13.9,16.7
115011291,Baulkham Hills (West) - Bella Vista,4.5,13.9,16.7
309021230,Coolangatta,6.7,14,16.7
211011251,Bayswater,4.5,14.2,16.7
509011233,McKail - Willyung,4.7,14.2,16.7
505021084,Balcatta - Hamersley,4.9,14.2,16.7
212051327,Wheelers Hill,5.7,14.3,16.7
205031093,Wonthaggi - Inverloch,6.8,14.5,16.7
102021044,Bateau Bay - Killarney Vale,5.2,14.8,16.7
124041466,Richmond - Clarendon,5.2,15.4,16.7
801071073,Calwell,3.8,12.6,16.8
801071087,Richardson,3.9,12.6,16.8
312021344,Eimeo - Rural View,2.7,12.8,16.8
801041044,Harrison,2.2,13.4,16.8
801041034,Amaroo,3.1,13.5,16.8
