SA2 Code,SA2 Label,Three or more chronic (%) All ages,Three or more chronic (%) 60 years and over,Three or more chronic (%) 70 years and over
305031126,Kelvin Grove - Herston,3.4,18,24.7
505021093,Stirling - Osborne Park,6.2,19.4,24.7
211051284,Upwey - Tecoma,7.3,19.8,24.7
801041039,Franklin,3,20.3,24.7
505021092,Scarborough,5.9,20.3,24.7
309011224,Broadbeach Waters,7.7,20.3,24.7
115011554,Castle Hill - East,7.5,20.6,24.7
207021157,Doncaster,7.6,20.9,24.7
316061444,Palmwoods,8.8,20.9,24.7
308011191,Central Highlands - West,9.1,22.1,24.7
217031476,Otway,12.9,22.9,24.7
407031166,Murray Bridge Region,10.9,23,24.7
801071076,Fadden,7.8,18.5,24.8
701021028,Wagaman,5.7,18.6,24.8
119031369,Mortdale - Penshurst,5.9,19.7,24.8
303031066,Wishart,6.2,19.8,24.8
401041014,Athelstone,7.6,20.2,24.8
101031016,Jindabyne - Berridale,8.5,20.6,24.8
211041272,Vermont,6.9,20.8,24.8
317011450,Highfields,8,21.3,24.8
214021382,Mount Martha,8.5,21.7,24.8
306031158,Babinda,11,21.9,24.8
312011338,Broadsound - Nebo,7.7,22.5,24.8
603021069,Bruny Island - Kettering,13,22.7,24.8
407031163,Loxton Region,11.4,23.3,24.8
126021503,West Ryde - Meadowbank,4.7,18.2,24.9
701021010,Alawa,6,18.4,24.9
126021501,North Ryde - East Ryde,6.1,19.5,24.9
209031209,Eltham,7.3,19.7,24.9
118021348,Coogee - Clovelly,5.8,20.1,24.9
301021009,Redland Bay,7,20.8,24.9
505021086,Dianella,7.7,20.8,24.9
211031267,Ringwood East,7.2,21.1,24.9
207021160,Templestowe Lower,8,21.1,24.9
801081091,Chapman,8.7,21.3,24.9
801091103,Hughes,7.6,21.5,24.9
501011003,Busselton Region,8.9,21.9,24.9
112031252,Murwillumbah Region,11.4,22.2,24.9
306011138,Brinsmead,6.1,18.9,25
208031183,Aspendale Gardens - Waterways,6.2,20,25
207031163,Box Hill,5.3,20.2,25
115031300,Kurrajong Heights - Ebenezer,7.3,20.2,25
208021176,Carnegie,5.5,20.5,25
303041070,Salisbury - Nathan,6.1,20.9,25
403041077,Flagstaff Hill,8.1,21.3,25
211051275,Chirnside Park,8.1,21.5,25
110011186,Armidale,8.5,21.6,25
407031161,Karoonda - Lameroo,10.8,22.2,25
407021158,Wattle Range,11.4,22.3,25
319011494,Branyan - Kensington,8.7,22.5,25
101021007,Braidwood,12.1,22.6,25
305011109,New Farm,6.7,20.2,25.1
304031095,Sherwood,6,20.4,25.1
308051536,Kin Kora - Sun Valley,6.4,20.4,25.1
601051027,Hobart,8.5,20.9,25.1
104021086,Coramba - Nana Glen - Bucca,9.4,20.9,25.1
306051169,Malanda - Yungaburra,11,21.7,25.1
405011111,Light,9.2,22.1,25.1
204021067,Wangaratta Region,11.2,22.3,25.1
509011228,Denmark,12.2,22.6,25.1
309031237,Coombabah,11.1,22.8,25.1
104021087,Dorrigo,13.6,23,25.1
206051134,St Kilda East,5,19.9,25.2
306011139,Clifton Beach - Kewarra Beach,8.3,20.6,25.2
601051032,South Hobart - Fern Tree,8,20.8,25.2
212011289,Emerald - Cockatoo,8,20.9,25.2
211011254,Knoxfield - Scoresby,6.8,21.2,25.2
505031258,Yanchep,6,21.3,25.2
801081098,Weston,7.8,21.6,25.2
602031058,Dilston - Lilydale,10.4,21.7,25.2
801081094,Holder,8.7,22.6,25.2
110021193,Inverell Region - West,12,24,25.2
303051075,Parkinson - Drewvale,4.3,17.5,25.3
503021039,Mount Lawley - Inglewood,5.8,18.5,25.3
120011383,Concord - Mortlake - Cabarita,6.8,19.6,25.3
407021157,Tatiara,8.9,21,25.3
308051534,Gladstone,8.1,21.3,25.3
128011530,Miranda - Yowie Bay,7.4,21.4,25.3
128011602,Caringbah,7,21.6,25.3
203021046,Newtown (Vic.),8.2,21.6,25.3
208031190,Mentone,7.7,21.7,25.3
212011288,Bunyip - Garfield,9.1,22.1,25.3
306051168,Kuranda,10.7,22.2,25.3
310021277,Boonah,10.6,22.4,25.3
204021064,Benalla Region,12.6,22.8,25.3
217031475,Corangamite - South,10.3,22.9,25.3
109031182,Deniliquin,11,23.1,25.3
405041124,Kadina,11.3,24.4,25.3
211011258,Rowville - South,6.4,19.3,25.4
305011107,Highgate Hill,5.4,19.7,25.4
118021565,Kingsford,4.5,19.9,25.4
115041301,Pitt Town - McGraths Hill,6.9,20.5,25.4
303021053,Coorparoo,5.8,20.6,25.4
308051531,Boyne Island - Tannum Sands,6.5,20.8,25.4
302041042,Brighton (Qld),7.5,21,25.4
301011003,Birkdale,7.6,21.3,25.4
209011202,Montmorency - Briar Hill,8.1,21.3,25.4
203031049,Lorne - Anglesea,11.6,21.9,25.4
317011445,Cambooya - Wyreema,7.1,22,25.4
302041045,Taigum - Fitzgibbon,6.2,22.1,25.4
103011060,Bathurst Region,11,22.5,25.4
307031186,Southern Downs - West,12.6,23.6,25.4
204011062,Yea,13.5,23.9,25.4
602021054,Deloraine,12.5,24.2,25.4
504021049,Chidlow,8.3,19.3,25.5
126021591,Ryde,5.3,19.7,25.5
509011232,Little Grove - Elleker,10.6,20.6,25.5
505031107,Tapping - Ashby - Sinagra,5.3,20.9,25.5
305021117,Morningside - Seven Hills,4.9,21.2,25.5
208031191,Moorabbin - Heatherton,6.8,21.2,25.5
302031039,Nudgee - Banyo,6.6,21.3,25.5
209011198,Heidelberg - Rosanna,7.3,21.8,25.5
316071545,Bli Bli,8.5,22.2,25.5
113031267,Wagga Wagga - East,8.6,22.3,25.5
203011036,Winchelsea,10.1,22.8,25.5
112021245,Casino Region,12.1,23.1,25.5
103021069,West Wyalong,11,23.5,25.5
509021244,Toodyay,12.9,23.8,25.5
318011463,Dalrymple,10.4,23.9,25.5
120011384,Concord West - North Strathfield,3.9,18.6,25.6
120011385,Drummoyne - Rodd Point,6.7,20.1,25.6
402041171,Mawson Lakes - Globe Derby Park,4.7,20.8,25.6
506031129,Riverton - Shelley - Rossmoyne,6.8,20.8,25.6
211011257,Rowville - North,6.4,20.9,25.6
505021097,Yokine - Coolbinia - Menora,7.3,21.1,25.6
301031015,Manly - Lota,7.8,21.3,25.6
401051017,Norwood (SA),8.3,21.5,25.6
507011152,Coogee,7.5,21.6,25.6
211051280,Montrose,8.1,21.6,25.6
105031103,Dubbo Region,9.8,21.7,25.6
112011237,Ballina Region,10.4,22.2,25.6
203011035,Golden Plains - South,9.4,22.3,25.6
509031246,Brookton,12,22.6,25.6
109011175,Albury Region,10.2,22.8,25.6
509021238,Dowerin,11.2,23,25.6
124011449,Blackheath - Megalong Valley,12.6,23.2,25.6
501011001,Augusta,11,23.3,25.6
602031100,Scottsdale - Bridport,12.1,23.3,25.6
101031013,Bombala,12.1,23.4,25.6
319021503,Gayndah - Mundubbera,11.7,24,25.6
319011500,Millbank - Avoca,11.3,24.1,25.6
701021020,Leanyer,5.6,18,25.7
120031391,Burwood - Croydon,5.3,19.9,25.7
208011171,Cheltenham - Highett (West),6.3,21,25.7
507021165,Fremantle,8.2,21.2,25.7
210011228,Keilor,8.7,21.5,25.7
204011060,Seymour Region,9.3,21.5,25.7
128021538,Sutherland - Kirrawee,7,21.7,25.7
602011051,West Launceston,8.8,22,25.7
312021351,Pioneer Valley,7.5,22.1,25.7
201011005,Buninyong,8.5,22.4,25.7
108041165,Port Macquarie Region,11.7,22.6,25.7
404031109,West Beach,8.9,22.7,25.7
211051276,Healesville - Yarra Glen,9.8,22.8,25.7
302041043,Deagon,8.7,23,25.7
407021151,Kingston - Robe,12.9,23.1,25.7
120021388,Leichhardt - Annandale,5.2,19.4,25.8
206061137,South Yarra - East,5.3,20.4,25.8
801041037,Crace,3.4,20.8,25.8
312021348,Mount Pleasant - Glenella,7.3,21.2,25.8
124011450,Blaxland - Warrimoo - Lapstone,8.2,21.3,25.8
203021042,Highton,8,22.3,25.8
316071548,Nambour,9.2,23,25.8
602021055,Grindelwald - Lanena,12,23.5,25.8
801041044,Harrison,3.3,19.2,25.9
507011161,Success - Hammond Park,4.1,20.1,25.9
210011231,Strathmore,6.7,20.2,25.9
401071024,Unley - Parkside,7.5,20.7,25.9
119041378,Kogarah,5,20.8,25.9
701021024,Moil,6.3,21.1,25.9
102021049,Jilliby - Yarramalong,8.4,21.1,25.9
211051279,Monbulk - Silvan,8.6,21.3,25.9
504021053,Mundaring,8.8,21.6,25.9
124011454,Springwood - Winmalee,8.6,21.8,25.9
211031450,Croydon - East,7.7,22,25.9
801091108,Pearce,8.8,22.2,25.9
107031140,Kiama Hinterland - Gerringong,10.3,22.2,25.9
124011455,Wentworth Falls,11.1,22.3,25.9
214011373,Frankston South,8.8,22.5,25.9
407021156,Penola,10.7,22.5,25.9
104021083,Bellingen,10.7,22.6,25.9
101061541,Yass,9.1,22.7,25.9
202021031,Woodend,9.7,23,25.9
403031070,Panorama,9.2,23.3,25.9
306011141,Redlynch,5.7,20,26
209031213,Plenty - Yarrambat,6.9,20,26
206071140,Carlton North - Princes Hill,7,20.7,26
303021059,Yeronga,6.8,21.2,26
302041044,Sandgate - Shorncliffe,7.7,21.2,26
125041588,Pendle Hill - Girraween,5.2,21.5,26
317011457,Toowoomba - East,8.4,21.7,26
801091106,Mawson,7.9,22.3,26
801091099,Chifley,8.1,22.5,26
306031160,Johnstone,10.7,22.5,26
112031550,Banora Point,11.5,23.8,26
101041020,Bega-Eden Hinterland,13.4,23.8,26
204011057,Mansfield (Vic.),12.2,23.9,26
315011400,Tablelands,12,24.2,26
510031272,Karratha,4.7,17.5,26.1
116021563,Quakers Hill,4.9,19.5,26.1
312011341,Moranbah,5.5,20.2,26.1
119031372,Peakhurst - Lugarno,7.5,21.2,26.1
119011358,Padstow,7.2,21.3,26.1
212051319,Ashwood - Chadstone,6.1,21.6,26.1
211031263,Bayswater North,7.1,21.6,26.1
506061143,Mundijong,7.5,21.6,26.1
302031035,Boondall,7.6,21.6,26.1
403021059,Hallett Cove,8.1,21.7,26.1
302011025,Everton Park,7.1,22.2,26.1
602011049,Trevallyn,8.9,22.2,26.1
313021367,Elimbah,7.9,22.3,26.1
302021027,Aspley,8.9,22.3,26.1
801081092,Duffy,8.3,23.9,26.1
105011094,Coonamble,11.9,24.6,26.1
405041125,Moonta,14.8,25.4,26.1
127031600,Prestons - Edmondson Park,4.3,19.4,26.2
506021123,Victoria Park - Lathlain - Burswood,5.8,20.2,26.2
208021182,Ormond - Glen Huntly,5.3,20.4,26.2
801091110,Torrens,7.8,21.4,26.2
211011446,Boronia,8.3,22.3,26.2
403011057,Glenelg (SA),9.5,22.3,26.2
308051539,West Gladstone,8.5,22.8,26.2
401021009,Nairne,7.8,22.9,26.2
306041164,Daintree,10.7,23,26.2
405021117,Gilbert Valley,11.9,23.4,26.2
217041477,Moyne - East,10.4,23.7,26.2
113031266,Temora,11.6,24.4,26.2
505031103,Madeley - Darch - Landsdale,4.7,20.4,26.3
303011047,Camp Hill,4.9,20.4,26.3
303061080,Sunnybank Hills,6.3,20.7,26.3
117011321,Botany,5.3,20.8,26.3
214011376,Skye - Sandhurst,6.4,21.3,26.3
211011448,Ferntree Gully (South) - Upper Ferntree Gul,7.6,21.6,26.3
601051028,Lenah Valley - Mount Stuart,8.5,21.7,26.3
211041270,Mitcham (Vic.),7.1,21.9,26.3
308031209,Glenlee - Rockyview,7.5,21.9,26.3
211051281,Mooroolbark,7.6,22.1,26.3
316061442,Landsborough,8.7,22.3,26.3
302021029,Chermside West,8,22.4,26.3
113011257,Griffith Region,9.2,22.5,26.3
303031065,Upper Mount Gravatt,6.5,22.9,26.3
211051278,Lilydale - Coldstream,8.8,22.9,26.3
403011056,Brighton (SA),9.9,22.9,26.3
511041292,Northampton - Mullewa - Greenough,11.8,23.2,26.3
602011039,Legana,9.6,23.4,26.3
217011420,Glenelg (Vic.),12.6,23.9,26.3
407011146,Strathalbyn,11.2,24.2,26.3
214021383,Point Nepean,13.3,24.2,26.3
101041024,Eurobodalla Hinterland,13.8,24.6,26.3
205021082,Bruthen - Omeo,12.9,25.1,26.3
603031074,Triabunna - Bicheno,15.7,25.2,26.3
702011051,Ross,9.4,19.6,26.4
305011112,West End,5.4,19.8,26.4
701021023,Millner,6.1,20,26.4
308051538,Telina - Toolooa,5.4,20.9,26.4
506051138,Forrestfield - Wattle Grove,6.5,21.4,26.4
206051132,South Melbourne,6.9,21.6,26.4
308011192,Emerald,6,21.7,26.4
309091263,Ashmore,8.3,21.7,26.4
801061062,Deakin,8.5,21.7,26.4
119011359,Panania - Milperra - Picnic Point,7,21.8,26.4
307031188,Stanthorpe Region,12,23,26.4
401021007,Mount Barker,8.5,23.1,26.4
511041291,Morawa,11.2,23.4,26.4
318011461,Burdekin,10.8,23.6,26.4
604031095,Smithton,10,23.7,26.4
403041083,McLaren Vale,10.8,23.7,26.4
604021092,Turners Beach - Forth,11.7,23.9,26.4
214021377,Dromana,12.9,24,26.4
405011113,Mallala,11.2,24.6,26.4
110021194,Tenterfield,14.6,24.6,26.4
602031061,Northern Midlands,12.4,25.1,26.4
407011144,Goolwa - Port Elliot,16.4,25.8,26.4
125011585,Berala,5.6,19.7,26.5
127011597,West Hoxton - Middleton Grange,4.3,20.1,26.5
311051324,Cornubia - Carbrook,7.2,20.3,26.5
310031290,Karana Downs,6.7,20.4,26.5
211011256,Rowville - Central,6.9,20.4,26.5
208021174,Bentleigh - McKinnon,6.3,20.9,26.5
801041047,Nicholls,7.3,21,26.5
505011070,Craigie - Beldon,6.8,21.2,26.5
209011203,Viewbank - Yallambie,8,22.5,26.5
313021364,Burpengary - East,7.5,22.6,26.5
403041088,Willunga,10.1,22.7,26.5
317011455,Rangeville,9.4,23,26.5
405011115,Tanunda,10.4,23,26.5
123031445,Bargo,8.5,23.2,26.5
201011002,Ballarat,9.7,23.4,26.5
316061441,Glass House Mountains,9.9,23.8,26.5
101061543,Young,10.5,24,26.5
307011174,Inglewood - Waggamba,11.9,24.3,26.5
108051167,Gloucester,14.1,24.6,26.5
103021068,Parkes Region,13,25.6,26.5
801041040,Gungahlin,4.9,19.5,26.6
125041492,Parramatta - Rosehill,3.5,20.4,26.6
401061020,Nailsworth - Broadview,7,21,26.6
207011146,Ashburton (Vic.),6.3,21.3,26.6
509031248,Murray,10,21.4,26.6
302031040,Nundah,5.7,21.6,26.6
124031463,Mulgoa - Luddenham - Orchard Hills,6.6,21.6,26.6
127021518,Horsley Park - Kemps Creek,7.9,21.8,26.6
309081261,Robina,8.4,22,26.6
309061246,Carrara,9.2,22,26.6
308031219,Rockhampton Region - North,10.5,22.2,26.6
309011225,Burleigh Heads,9.5,22.8,26.6
112021247,Kyogle,13.3,24,26.6
503021038,Mount Hawthorn - Leederville,5.1,19.9,26.7
303061077,Kuraby,5.1,20.1,26.7
120031390,Ashfield,5.6,20.9,26.7
504031058,Bullsbrook,7.7,20.9,26.7
212051320,Clayton,3.9,21.5,26.7
302011022,Bald Hills,6.7,21.9,26.7
601041026,Taroona - Bonnet Hill,9.7,22.4,26.7
506051139,High Wycombe,7.6,22.5,26.7
208031189,Edithvale - Aspendale,7.7,22.5,26.7
203031053,Torquay,8.1,22.6,26.7
402021033,One Tree Hill,10.1,23.1,26.7
306031161,Tully,11.1,23.6,26.7
316051438,Tewantin,11.9,23.9,26.7
203031052,Point Lonsdale - Queenscliff,14.2,23.9,26.7
702051067,Katherine,8.8,24.3,26.7
801091105,Lyons (ACT),9.1,24.3,26.7
205031087,Foster,14.1,24.8,26.7
303041068,Moorooka,6.3,22.2,26.8
209041435,South Morang (North),4.8,22.4,26.8
207021156,Bulleen,8.7,22.6,26.8
211051286,Yarra Valley,10.4,23.8,26.8
307021182,Pittsworth,9.8,24.2,26.8
312011340,Collinsville,11.9,24.8,26.8
217031474,Corangamite - North,12.6,24.9,26.8
103031074,Mudgee Region - West,12.4,25.2,26.8
215011390,Nhill Region,12.9,25.3,26.8
303061079,Sunnybank,5.9,21,26.9
302031038,Northgate - Virginia,6.3,21.6,26.9
309061249,Pacific Pines - Gaven,5.8,22,26.9
306011142,Trinity Beach - Smithfield,6.9,22,26.9
303011049,Carina,6.8,22.2,26.9
309011228,Mermaid Waters,8.8,23,26.9
202021026,Bendigo Region - South,9.6,23.4,26.9
602011043,Norwood (Tas.),10.7,23.4,26.9
113021261,Tumut,10.9,25,26.9
405021118,Goyder,13.1,25.1,26.9
113031263,Cootamundra,12.9,25.4,26.9
216021412,Moira,13.5,25.8,26.9
307011178,Tara,14.6,26.4,26.9
309091265,Parkwood,6.4,20.4,27
211011260,Wantirna South,7.5,20.6,27
119041379,Kogarah Bay - Carlton - Allawah,6.3,21.4,27
211011259,Wantirna,7.9,21.4,27
306011140,Freshwater - Stratford,7.6,21.5,27
123011434,Elderslie - Harrington Park,5.8,22.1,27
501031019,Manjimup,9.6,22.4,27
125041493,Toongabbie - Constitution Hill,7.1,22.6,27
102011039,Terrigal - North Avoca,9,22.7,27
407031168,Renmark Region,10.3,22.7,27
312031359,Airlie - Whitsundays,8.5,22.9,27
402051054,Redwood Park,8.6,23,27
110031196,Moree Region,9.6,23,27
211041269,Forest Hill,7.9,23.1,27
403021060,Marino - Seaview Downs,9.2,23.3,27
203011034,Bannockburn,7.4,23.5,27
402051049,Golden Grove,8.7,23.6,27
801011005,Cook,9.4,23.6,27
124011452,Katoomba - Leura,12.2,23.8,27
113031265,Junee,10.7,24.3,27
309021230,Coolangatta,12.2,24.3,27
114011272,Berry - Kangaroo Valley,14,24.5,27
103021064,Cowra Region,13.1,24.8,27
319011497,Bundaberg North - Gooburrum,12.5,25.2,27
604021091,Sheffield - Railton,13.6,26.2,27
119011571,Bankstown - North,5.3,20.9,27.1
206071145,Yarra - North,6.7,20.9,27.1
601051033,West Hobart,7.9,21.4,27.1
401071023,Goodwood - Millswood,7.4,21.7,27.1
208021426,Bentleigh East (North),6.3,22,27.1
209011197,Greensborough,8.1,22.1,27.1
303031062,Mansfield (Qld),7.1,22.7,27.1
119041382,Sans Souci - Ramsgate,8.8,22.8,27.1
301031016,Manly West,7.9,23.4,27.1
404011092,Henley Beach,8.9,23.4,27.1
215031401,Gannawarra,13.1,24.6,27.1
801041035,Bonner,3,19.8,27.2
311061335,Underwood,5.3,21,27.2
125041491,Northmead,4.8,21.9,27.2
211051283,Mount Evelyn,7.9,22.7,27.2
202011024,Strathfieldsaye,8,23,27.2
309011229,Miami,8.2,23.1,27.2
317011451,Lockyer Valley - West,9.4,23.6,27.2
202011023,Maiden Gully,8.1,23.7,27.2
506061144,Serpentine - Jarrahdale,9.5,23.9,27.2
205051102,Rosedale,10.8,24.3,27.2
215031405,Swan Hill Region,11.7,24.6,27.2
602021057,Westbury,12.6,24.8,27.2
204011054,Alexandra,14.5,25.3,27.2
117031330,Erskineville - Alexandria,4.6,20.3,27.3
208021181,Murrumbeena,5.7,20.7,27.3
801061064,Griffith (ACT),7,20.7,27.3
304031093,Corinda,6.5,21.1,27.3
208021427,Bentleigh East (South),7.1,22.2,27.3
403031068,Colonel Light Gardens,7.2,22.4,27.3
208031193,Mordialloc - Parkdale,7.4,22.5,27.3
211041271,Nunawading,7.2,23.2,27.3
801011009,Flynn (ACT),8.9,23.2,27.3
201011007,Smythes Creek,8.8,23.4,27.3
208031188,Cheltenham - Highett (East),8.2,23.5,27.3
402051055,St Agnes - Ridgehaven,9.8,23.9,27.3
509011234,Plantagenet,12.2,24,27.3
511011274,Esperance,10.3,24.3,27.3
406011131,Kimba - Cleve - Franklin Harbour,11.4,24.7,27.3
307021181,Millmerran,11.8,24.7,27.3
204011055,Euroa,14.3,24.7,27.3
405031121,Peterborough - Mount Remarkable,14.7,25.8,27.3
407011148,Victor Harbor,16.3,26.5,27.3
127011593,Cecil Hills,5.7,19.3,27.4
127031524,Holsworthy - Wattle Grove,4.9,19.9,27.4
303051072,Algester,6.4,21.7,27.4
213051465,Point Cook - North,4.3,21.9,27.4
120031392,Canterbury (North) - Ashbury,6.7,21.9,27.4
119021364,Kingsgrove (North) - Earlwood,7.8,22.8,27.4
312021354,Shoal Point - Bucasia,7.2,23.4,27.4
309021233,Elanora,9.4,23.4,27.4
501011004,Margaret River,8.2,23.5,27.4
404031105,Fulham,10,23.8,27.4
801011022,Melba,9.3,23.9,27.4
102011041,Wamberal - Forresters Beach,9,24,27.4
307011175,Miles - Wandoan,10.1,24.3,27.4
125021478,Oatlands - Dundas Valley,6.6,21.3,27.5
119041376,Bexley,6.2,21.7,27.5
123011433,Camden - Ellis Lane,7.7,22.4,27.5
125031482,Greystanes - Pemulwuy,7,22.9,27.5
314021390,North Lakes - Mango Hill,5.1,23,27.5
504011047,Morley,7.9,23.2,27.5
602011046,Riverside,9.6,23.4,27.5
208031187,Chelsea Heights,8.6,23.5,27.5
309011226,Burleigh Waters,9.1,23.7,27.5
309031238,Labrador,9.4,23.7,27.5
602031062,Perth - Evandale,10.9,23.9,27.5
407021154,Naracoorte,9.5,24.3,27.5
212011290,Koo Wee Rup,9.7,24.5,27.5
319041516,Booral - River Heads,11.6,24.7,27.5
405031120,Jamestown,12.3,24.7,27.5
319011492,Ashfield - Kepnock,9.8,25,27.5
509021245,York - Beverley,14.2,25.4,27.5
602031060,Longford,12.8,25.6,27.5
507011259,Beeliar - Wattleup,5.2,21.4,27.6
401051019,St Peters - Marden,7.4,21.7,27.6
301031018,Tingalpa,7.1,22.6,27.6
112011243,Mullumbimby,11.1,22.6,27.6
119041380,Monterey - Brighton-le-Sands - Kyeemagh,8.1,23.1,27.6
306011143,Yorkeys Knob - Machans Beach,10.4,23.5,27.6
210011229,Keilor East,9.1,23.7,27.6
309091540,Southport - North,7.7,23.8,27.6
203031050,Ocean Grove - Barwon Heads,9.3,24,27.6
316021423,Parrearra - Warana,10.1,24.2,27.6
509011227,Bayonet Head - Lower King,10.2,24.4,27.6
112031250,Kingscliff - Fingal Head,10.7,24.6,27.6
311011305,Beaudesert,11.2,25.2,27.6
502011024,Halls Head - Erskine,11,25.4,27.6
604031097,West Coast (Tas.),12.4,25.9,27.6
110021190,Glen Innes,13.7,26.1,27.6
602021053,Beauty Point - Beaconsfield,15.9,26.3,27.6
309091264,Molendinar,6.8,21,27.7
505031100,Carramar,4.2,21.2,27.7
209031210,Hurstbridge,8,22.4,27.7
801011010,Fraser,9.7,22.6,27.7
212051326,Oakleigh - Huntingdale,6.3,22.7,27.7
309071254,Jacobs Well - Alberton,10.1,23.2,27.7
401041016,Rostrevor - Magill,8.1,23.3,27.7
309021231,Currumbin - Tugun,9.7,23.8,27.7
404011096,West Lakes,11.7,24.2,27.7
217031471,Camperdown,14,26.5,27.7
503021040,North Perth,6,20.9,27.8
119021363,Canterbury (South) - Campsie,5.9,21.9,27.8
125011584,Auburn - South,5.6,22,27.8
209041437,Wollert,3.8,22.2,27.8
505031101,Clarkson,5.8,22.2,27.8
102011028,Avoca Beach - Copacabana,8,22.5,27.8
311061334,Springwood,8,22.9,27.8
211011447,Ferntree Gully (North),8.5,23.5,27.8
316021418,Buddina - Minyama,10.4,23.9,27.8
801081096,Stirling,10.6,23.9,27.8
202021028,Castlemaine Region,13.9,24.9,27.8
103041076,Blayney,11.2,25.2,27.8
405011114,Nuriootpa,11,25.3,27.8
205031090,Leongatha,11.8,25.5,27.8
407031169,The Coorong,13.1,25.6,27.8
701041036,Bakewell,4.4,19.4,27.9
212031306,Lynbrook - Lyndhurst,4.3,21,27.9
313041374,Morayfield,8.5,21.3,27.9
125041489,North Parramatta,5.4,21.6,27.9
504011046,Maylands,6.2,21.6,27.9
119031370,Narwee - Beverly Hills,7.4,22.3,27.9
119011360,Revesby,7.1,22.5,27.9
118021350,Malabar - La Perouse - Chifley,7.9,23,27.9
211031266,Ringwood,7.5,23.2,27.9
124011453,Lawson - Hazelbrook - Linden,9.7,23.4,27.9
110031198,Narrabri Region,11.1,23.9,27.9
402011025,Gawler - North,8.6,24.2,27.9
407021173,Mount Gambier - East,9.8,24.3,27.9
211051277,Kilsyth,9.4,24.4,27.9
318021489,Townsville - South,10.9,24.6,27.9
103011061,Oberon,12.3,24.8,27.9
316021421,Golden Beach - Pelican Waters,12.9,25.1,27.9
108051170,Taree Region,15.6,26.2,27.9
110021192,Inverell Region - East,13.2,27.2,27.9
602031064,St Helens - Scamander,16.8,27.4,27.9
309061250,Worongary - Tallai,8.3,22.2,28
212021294,Berwick - South,5.3,22.6,28
213041463,Caroline Springs,5.3,23,28
310031294,Ripley,5.8,23.4,28
124031465,Warragamba - Silverdale,7.5,23.4,28
212041313,Dingley Village,9.3,23.5,28
505021084,Balcatta - Hamersley,8.7,23.7,28
214021385,Somerville,9.7,23.9,28
102011029,Box Head - MacMasters Beach,11.1,24.4,28
603021070,Cygnet,13.7,25.4,28
509021237,Cunderdin,12.4,25.8,28
101041025,Merimbula - Tura Beach,14.7,26,28
205051104,Yarram,14.8,26.3,28
319051525,Maryborough Region - South,17.1,27.8,28
701021022,Malak - Marrara,7.4,20.6,28.1
125011583,Auburn - North,3.8,21.5,28.1
125011582,Auburn - Central,4.9,22.1,28.1
801011021,McKellar,8.9,22.1,28.1
125021477,Ermington - Rydalmere,6.5,22.3,28.1
801051060,Turner,6.6,22.5,28.1
125041589,Wentworthville - Westmead,5.1,22.7,28.1
206061136,Prahran - Windsor,6,22.8,28.1
309071252,Helensvale,8.3,23.1,28.1
301011005,Thorneside,9.1,23.3,28.1
312021352,Sarina,10,24.2,28.1
310031288,Ipswich - North,7.8,24.5,28.1
111011213,Valentine - Eleebana,10.3,24.5,28.1
111031228,Merewether - The Junction,8.8,24.8,28.1
214021380,Mornington,11.9,25.2,28.1
601041024,Margate - Snug,9.5,25.3,28.1
103021062,Condobolin,11.9,25.6,28.1
209031215,Wattle Glen - Diamond Creek,7.3,21.7,28.2
212021453,Endeavour Hills - North,7.5,22.7,28.2
116011560,Blacktown (South),6.5,23.3,28.2
207021425,Doncaster East (South),7.9,23.5,28.2
208031185,Carrum - Patterson Lakes,9.3,23.8,28.2
302021030,Geebung,7.7,24.1,28.2
404031106,Lockleys,8.6,24.2,28.2
107031139,Kiama Downs - Minnamurra,10.1,24.3,28.2
306051166,Atherton,11.7,24.9,28.2
103021066,Grenfell,14.2,25.9,28.2
